###date,total,correct,revised sections###
2021-05-07 20:48:21;2;1;e,o
2021-05-07 20:48:49;2;1;e
2021-05-07 21:07:35;10;2;e,o
2021-05-08 18:52:07;1;0;e
2021-05-08 21:14:02;1;0;e
2021-05-08 21:15:31;2;0;s
2021-05-08 21:16:08;1;0;e,o,s
2021-05-08 21:18:23;7;1;s
2021-05-09 11:25:50;1;0;o
2021-05-09 11:28:20;1;0;o
2021-05-09 11:29:48;1;0;o
2021-05-09 11:30:46;1;0;o
2021-05-09 11:45:25;11;1;e,o,s,z
2021-05-09 11:50:44;1;1;o
2021-05-09 11:51:02;1;0;o
2021-05-09 11:51:04;1;0;o
2021-05-09 11:51:11;1;0;o
2021-05-11 18:37:25;1;1;e,o,s,z
2021-05-11 18:37:42;1;0;z
2021-05-11 19:23:53;2;1;e,o,s,z
